person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_Y,debt_to_income,income_per_emp_year,high_loan_ratio,credit_score,actual_default,predicted_default,default_probability,risk_band
28.0,64600,3.0,10000,13.48,0.15,7.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,0.1547987616099071,16150.0,0,539.6827297171984,0,0,0.13924370866883978,D - High Risk
25.0,75000,4.0,23000,9.91,0.32,2.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.3066666666666666,15000.0,1,530.5110207830323,0,0,0.1818715768907674,D - High Risk
26.0,84000,5.0,21000,13.49,0.25,2.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.25,14000.0,0,586.8961481438038,0,0,0.030534783880187925,C - Medium Risk
35.0,78000,9.0,10000,6.54,0.13,5.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.1282051282051282,7800.0,0,605.2385184557698,0,0,0.016405836508400252,B - Low Risk
37.0,42000,0.0,12000,10.99,0.29,14.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.2857142857142857,41430.5,0,528.0775784058943,0,0,0.19475851330702715,D - High Risk
32.0,42000,4.0,3000,7.49,0.07,10.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.0714285714285714,8400.0,0,546.914133241056,0,0,0.11182764040212327,D - High Risk
40.0,95000,0.0,17000,10.0,0.18,12.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.1789473684210526,41430.5,0,548.8171338829083,0,0,0.10544281727350677,D - High Risk
24.0,44000,2.0,10000,7.49,0.23,2.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,0.2272727272727272,14666.666666666666,0,549.4875744133652,0,0,0.1032711260140351,D - High Risk
23.0,100000,0.0,11000,8.49,0.11,2.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.11,41430.5,0,619.7236495903854,0,0,0.009995320755195996,B - Low Risk
27.0,54000,2.0,20000,16.0,0.37,6.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,0.3703703703703703,18000.0,1,383.20607464673566,1,1,0.9734413453248907,E - Very High Risk
27.0,44000,5.0,13650,10.65,0.31,5.0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,0.3102272727272727,7333.333333333333,1,464.66672999640787,1,1,0.6853072952168856,E - Very High Risk
30.0,44000,0.0,10500,15.58,0.24,10.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,0.2386363636363636,41430.5,0,457.3434269908036,1,1,0.7373183796280434,E - Very High Risk
40.5,140250,9.0,15000,7.66,0.09,15.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.106951871657754,14025.0,0,603.4464125308442,0,0,0.017438773633804732,B - Low Risk
23.0,55000,4.0,8000,7.49,0.15,2.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.1454545454545454,11000.0,0,603.1277055911222,0,0,0.017629047505252793,B - Low Risk
33.0,77000,7.0,13000,10.99,0.17,7.0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.1688311688311688,9625.0,0,468.32771893327566,0,1,0.6573237432736071,E - Very High Risk
24.0,30000,3.0,6000,11.71,0.2,4.0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,0.2,7500.0,0,534.660561921349,0,0,0.1614429698171291,D - High Risk
26.0,72000,2.0,3600,10.74,0.05,4.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,0.05,24000.0,0,571.7844507388976,0,0,0.05049115925234071,C - Medium Risk
31.0,12252,14.5,2400,10.99,0.2,10.0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,0.1958863858961802,790.4516129032259,0,520.8909934844862,1,0,0.23679827458883257,D - High Risk
33.0,115000,2.0,14400,11.14,0.13,5.0,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0.1252173913043478,38333.333333333336,0,672.8447424963989,0,0,0.0015992349592934252,A - Very Low Risk
37.0,45000,5.0,10800,6.03,0.24,14.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.24,7500.0,0,648.8165047815011,0,0,0.003670046539929457,B - Low Risk
28.0,84000,1.0,8400,7.51,0.1,10.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.1,41430.5,0,600.8887813033267,0,0,0.01902438885332679,B - Low Risk
23.0,55000,4.0,8000,9.25,0.15,2.0,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,0.1454545454545454,11000.0,0,558.4479612055225,0,0,0.07784891765755013,C - Medium Risk
29.0,44500,3.0,14400,13.61,0.32,10.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,0.3235955056179775,11125.0,1,458.56161574371254,1,1,0.7290598457448181,E - Very High Risk
40.0,53000,2.0,3000,10.62,0.06,15.5,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.0566037735849056,17666.666666666668,0,566.6152312037615,0,0,0.059805165529022014,C - Medium Risk
34.0,52809,14.5,13000,10.62,0.25,9.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,0.2461701603893275,3407.032258064516,0,568.1717949542126,0,0,0.05684290356266686,C - Medium Risk
27.0,54000,4.0,8000,13.8,0.15,5.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,0.1481481481481481,10800.0,0,522.9983618625248,0,0,0.22385347988680537,D - High Risk
36.0,39000,8.0,7000,5.79,0.18,15.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.1794871794871795,4333.333333333333,0,598.8706433437409,0,0,0.020374574857833335,C - Medium Risk
24.0,36000,5.0,8000,10.65,0.22,2.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.2222222222222222,6000.0,0,610.7567884113472,0,0,0.013588833493965446,B - Low Risk
40.0,58500,3.0,5000,7.49,0.09,11.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,0.0854700854700854,14625.0,0,574.2046223399094,0,0,0.04661824842684044,C - Medium Risk
26.0,101000,6.0,16000,7.88,0.16,3.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.1584158415841584,14428.57142857143,0,613.4680359229066,0,0,0.012385211864796146,B - Low Risk
25.0,77800,9.0,23000,10.99,0.39,4.0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.2956298200514138,7780.0,1,546.6146803285823,0,0,0.11286259099539317,D - High Risk
39.0,60000,3.0,3800,10.37,0.06,14.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.0633333333333333,15000.0,0,530.9984376516295,0,0,0.1793715515681771,D - High Risk
29.0,60000,1.0,10000,10.99,0.17,10.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0.1666666666666666,30000.0,0,629.3388286092145,0,0,0.007182999372010187,B - Low Risk
23.0,75000,1.0,4500,10.99,0.06,4.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,0.06,37500.0,0,510.6434381816811,0,0,0.30679190300914494,D - High Risk
36.0,140250,3.0,5000,14.26,0.02,15.5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,0.035650623885918,35062.5,0,543.206052317154,0,0,0.12524250845672086,D - High Risk
