feature,points
person_age,0.27
person_income,7.03
person_emp_length,2.69
loan_amnt,12.24
loan_int_rate,-4.53
loan_percent_income,33.57
cb_person_cred_hist_length,0.57
person_home_ownership_OTHER,-0.83
person_home_ownership_OWN,14.22
person_home_ownership_RENT,-12.91
loan_intent_EDUCATION,10.18
loan_intent_HOMEIMPROVEMENT,-1.45
loan_intent_MEDICAL,2.3
loan_intent_PERSONAL,7.1
loan_intent_VENTURE,13.0
loan_grade_B,-3.64
loan_grade_C,-6.23
loan_grade_D,-24.97
loan_grade_E,-14.54
loan_grade_F,-8.42
loan_grade_G,-16.57
cb_person_default_on_file_Y,-0.17
debt_to_income,-48.13
income_per_emp_year,0.26
high_loan_ratio,-24.28
